path,participant_id,sequence_id,sign,label
train_landmark_files/4718/3009420767.parquet,4718,3009420767,tomorrow,221
train_landmark_files/61333/1445087971.parquet,61333,1445087971,puppy,179
train_landmark_files/30680/426862728.parquet,30680,426862728,icecream,122
train_landmark_files/49445/1203456902.parquet,49445,1203456902,face,73
train_landmark_files/26734/613123574.parquet,26734,613123574,gum,103
train_landmark_files/16069/3239836240.parquet,16069,3239836240,head,110
train_landmark_files/25571/4132909013.parquet,25571,4132909013,rain,183
train_landmark_files/36257/3740052574.parquet,36257,3740052574,better,22
train_landmark_files/62590/2135353335.parquet,62590,2135353335,now,157
train_landmark_files/26734/1060249469.parquet,26734,1060249469,fine,79
train_landmark_files/4718/3631549964.parquet,4718,3631549964,toothbrush,224
train_landmark_files/2044/535437106.parquet,2044,535437106,shirt,195
train_landmark_files/22343/2721672453.parquet,22343,2721672453,pig,171
train_landmark_files/25571/1060260235.parquet,25571,1060260235,thirsty,218
train_landmark_files/22343/2699305545.parquet,22343,2699305545,quiet,181
train_landmark_files/37055/3728985997.parquet,37055,3728985997,dirty,57
train_landmark_files/37055/3992096090.parquet,37055,3992096090,any,7
train_landmark_files/30680/3279170465.parquet,30680,3279170465,ride,187
train_landmark_files/62590/4280327312.parquet,62590,4280327312,frog,90
train_landmark_files/61333/3284397949.parquet,61333,3284397949,fall,74
train_landmark_files/2044/770133857.parquet,2044,770133857,hot,120
train_landmark_files/36257/934867005.parquet,36257,934867005,mouse,148
train_landmark_files/37055/2153049337.parquet,37055,2153049337,vacuum,231
train_landmark_files/28656/3844174904.parquet,28656,3844174904,donkey,60
train_landmark_files/36257/717509479.parquet,36257,717509479,old,159
train_landmark_files/53618/1048727150.parquet,53618,1048727150,cereal,39
train_landmark_files/27610/2871928067.parquet,27610,2871928067,farm,75
train_landmark_files/53618/2352438019.parquet,53618,2352438019,hungry,121
train_landmark_files/34503/2828449269.parquet,34503,2828449269,brother,30
train_landmark_files/26734/1650216365.parquet,26734,1650216365,before,20
train_landmark_files/61333/1962642742.parquet,61333,1962642742,time,220
train_landmark_files/2044/3033679762.parquet,2044,3033679762,smile,201
train_landmark_files/53618/3143010661.parquet,53618,3143010661,yellow,243
train_landmark_files/36257/1192795196.parquet,36257,1192795196,TV,0
train_landmark_files/29302/858750570.parquet,29302,858750570,hair,104
train_landmark_files/29302/2128001505.parquet,29302,2128001505,lips,134
train_landmark_files/26734/2986116155.parquet,26734,2986116155,bad,13
train_landmark_files/49445/3968289160.parquet,49445,3968289160,noisy,154
train_landmark_files/18796/4047021185.parquet,18796,4047021185,thankyou,214
train_landmark_files/32319/1758419901.parquet,32319,1758419901,hot,120
train_landmark_files/26734/2410146118.parquet,26734,2410146118,frenchfries,89
train_landmark_files/37779/308842742.parquet,37779,308842742,who,239
train_landmark_files/37779/4073946045.parquet,37779,4073946045,clean,45
train_landmark_files/34503/3571149085.parquet,34503,3571149085,cry,52
train_landmark_files/62590/393342077.parquet,62590,393342077,bug,32
train_landmark_files/4718/2289951796.parquet,4718,2289951796,hesheit,115
train_landmark_files/18796/2879594456.parquet,18796,2879594456,find,78
train_landmark_files/28656/501428583.parquet,28656,501428583,bye,33
train_landmark_files/4718/1143677737.parquet,4718,1143677737,find,78
train_landmark_files/4718/2439197829.parquet,4718,2439197829,mouse,148
train_landmark_files/29302/4241751272.parquet,29302,4241751272,toy,226
train_landmark_files/28656/2076859211.parquet,28656,2076859211,hen,114
train_landmark_files/25571/1244643957.parquet,25571,1244643957,apple,8
train_landmark_files/28656/4064208934.parquet,28656,4064208934,closet,47
train_landmark_files/61333/3396498795.parquet,61333,3396498795,grandma,99
train_landmark_files/4718/2640585336.parquet,4718,2640585336,owie,164
train_landmark_files/37055/1971078998.parquet,37055,1971078998,before,20
train_landmark_files/36257/2334199912.parquet,36257,2334199912,find,78
train_landmark_files/25571/3363272433.parquet,25571,3363272433,another,6
train_landmark_files/37055/3747273961.parquet,37055,3747273961,stairs,204
train_landmark_files/55372/3318661804.parquet,55372,3318661804,pencil,168
train_landmark_files/53618/1003370644.parquet,53618,1003370644,man,140
train_landmark_files/27610/3654475740.parquet,27610,3654475740,if,123
train_landmark_files/53618/245192201.parquet,53618,245192201,scissors,192
train_landmark_files/2044/716416431.parquet,2044,716416431,no,153
train_landmark_files/30680/2818495369.parquet,30680,2818495369,loud,137
train_landmark_files/61333/3128535828.parquet,61333,3128535828,feet,77
train_landmark_files/16069/2430909943.parquet,16069,2430909943,sleepy,200
train_landmark_files/34503/4000108755.parquet,34503,4000108755,read,184
train_landmark_files/22343/1419823287.parquet,22343,1419823287,cat,38
train_landmark_files/18796/466396703.parquet,18796,466396703,moon,146
train_landmark_files/28656/3100734460.parquet,28656,3100734460,kiss,128
train_landmark_files/55372/2131368471.parquet,55372,2131368471,pig,171
train_landmark_files/32319/671969841.parquet,32319,671969841,pajamas,166
train_landmark_files/61333/1361166277.parquet,61333,1361166277,man,140
train_landmark_files/2044/3519035635.parquet,2044,3519035635,hello,113
train_landmark_files/4718/3041916200.parquet,4718,3041916200,flag,85
train_landmark_files/37779/3300531428.parquet,37779,3300531428,grandma,99
train_landmark_files/61333/443789617.parquet,61333,443789617,wolf,242
train_landmark_files/4718/573523024.parquet,4718,573523024,backyard,12
train_landmark_files/22343/4252318676.parquet,22343,4252318676,mom,145
train_landmark_files/22343/2032536566.parquet,22343,2032536566,dog,58
train_landmark_files/37779/357461686.parquet,37779,357461686,duck,67
train_landmark_files/16069/4292140954.parquet,16069,4292140954,puppy,179
train_landmark_files/29302/1525466565.parquet,29302,1525466565,frenchfries,89
train_landmark_files/2044/3720407128.parquet,2044,3720407128,pencil,168
train_landmark_files/36257/3085029142.parquet,36257,3085029142,eye,72
train_landmark_files/62590/2293647891.parquet,62590,2293647891,clean,45
train_landmark_files/32319/2522966275.parquet,32319,2522966275,wolf,242
train_landmark_files/62590/2001284531.parquet,62590,2001284531,TV,0
train_landmark_files/28656/2191460123.parquet,28656,2191460123,store,207
train_landmark_files/53618/4077309131.parquet,53618,4077309131,boat,27
train_landmark_files/55372/684770793.parquet,55372,684770793,sick,198
train_landmark_files/26734/28650523.parquet,26734,28650523,water,234
train_landmark_files/28656/1098673980.parquet,28656,1098673980,quiet,181
train_landmark_files/49445/3685890883.parquet,49445,3685890883,blue,26
train_landmark_files/62590/2366704650.parquet,62590,2366704650,now,157
train_landmark_files/28656/3136922664.parquet,28656,3136922664,water,234
train_landmark_files/30680/1246610781.parquet,30680,1246610781,refrigerator,186
train_landmark_files/49445/2441505080.parquet,49445,2441505080,hate,107
train_landmark_files/55372/3209965414.parquet,55372,3209965414,hair,104
train_landmark_files/25571/3414318451.parquet,25571,3414318451,stay,205
train_landmark_files/26734/412970829.parquet,26734,412970829,milk,142
train_landmark_files/2044/4106791465.parquet,2044,4106791465,quiet,181
train_landmark_files/34503/3492693933.parquet,34503,3492693933,close,46
train_landmark_files/22343/2459330980.parquet,22343,2459330980,milk,142
train_landmark_files/16069/2085785750.parquet,16069,2085785750,food,87
train_landmark_files/32319/1016337310.parquet,32319,1016337310,apple,8
train_landmark_files/2044/4053713943.parquet,2044,4053713943,cow,50
train_landmark_files/25571/2832408561.parquet,25571,2832408561,finger,80
train_landmark_files/29302/2763940854.parquet,29302,2763940854,all,3
train_landmark_files/30680/3597463181.parquet,30680,3597463181,lips,134
train_landmark_files/28656/136421579.parquet,28656,136421579,all,3
train_landmark_files/34503/3637420692.parquet,34503,3637420692,after,1
train_landmark_files/49445/727975308.parquet,49445,727975308,bird,23
train_landmark_files/61333/3601396858.parquet,61333,3601396858,go,97
train_landmark_files/36257/1499354391.parquet,36257,1499354391,touch,225
train_landmark_files/53618/2528522328.parquet,53618,2528522328,no,153
train_landmark_files/25571/508416014.parquet,25571,508416014,face,73
train_landmark_files/49445/1730983307.parquet,49445,1730983307,gift,92
train_landmark_files/28656/219221797.parquet,28656,219221797,stairs,204
train_landmark_files/53618/3941422137.parquet,53618,3941422137,on,160
train_landmark_files/49445/2876808330.parquet,49445,2876808330,apple,8
train_landmark_files/37779/3011767648.parquet,37779,3011767648,dog,58
train_landmark_files/27610/2566399540.parquet,27610,2566399540,boat,27
train_landmark_files/32319/1753453892.parquet,32319,1753453892,tomorrow,221
train_landmark_files/55372/2003732724.parquet,55372,2003732724,head,110
train_landmark_files/26734/4276935786.parquet,26734,4276935786,pencil,168
train_landmark_files/28656/2207345.parquet,28656,2207345,duck,67
train_landmark_files/62590/3104461367.parquet,62590,3104461367,glasswindow,96
train_landmark_files/37055/1459336516.parquet,37055,1459336516,room,188
train_landmark_files/16069/3265111704.parquet,16069,3265111704,if,123
train_landmark_files/26734/3364304150.parquet,26734,3364304150,pajamas,166
train_landmark_files/34503/2650731913.parquet,34503,2650731913,many,141
train_landmark_files/36257/15252470.parquet,36257,15252470,night,152
train_landmark_files/28656/1287590292.parquet,28656,1287590292,hide,116
train_landmark_files/55372/3781593295.parquet,55372,3781593295,clown,49
train_landmark_files/37779/3877885838.parquet,37779,3877885838,blue,26
train_landmark_files/27610/1021102195.parquet,27610,1021102195,owl,165
train_landmark_files/16069/2917804487.parquet,16069,2917804487,hate,107
train_landmark_files/4718/3533550088.parquet,4718,3533550088,ear,68
train_landmark_files/34503/4292014181.parquet,34503,4292014181,awake,11
train_landmark_files/34503/1016391462.parquet,34503,1016391462,pool,175
train_landmark_files/22343/1580432644.parquet,22343,1580432644,child,42
train_landmark_files/34503/3759292390.parquet,34503,3759292390,table,211
train_landmark_files/32319/3471007143.parquet,32319,3471007143,underwear,229
train_landmark_files/55372/2151653414.parquet,55372,2151653414,pen,167
train_landmark_files/30680/100828468.parquet,30680,100828468,radio,182
train_landmark_files/55372/4073303647.parquet,55372,4073303647,book,28
train_landmark_files/34503/2105788082.parquet,34503,2105788082,clown,49
train_landmark_files/62590/927021802.parquet,62590,927021802,alligator,4
train_landmark_files/26734/113254818.parquet,26734,113254818,taste,213
train_landmark_files/4718/2557823223.parquet,4718,2557823223,that,215
train_landmark_files/2044/3328370975.parquet,2044,3328370975,into,124
train_landmark_files/28656/2673900188.parquet,28656,2673900188,fine,79
train_landmark_files/4718/4104354720.parquet,4718,4104354720,person,170
train_landmark_files/29302/2393425600.parquet,29302,2393425600,wait,232
train_landmark_files/25571/3692526875.parquet,25571,3692526875,bad,13
train_landmark_files/37055/297923184.parquet,37055,297923184,jeans,126
train_landmark_files/29302/2054938925.parquet,29302,2054938925,brother,30
train_landmark_files/26734/2828144248.parquet,26734,2828144248,puzzle,180
train_landmark_files/18796/2482607948.parquet,18796,2482607948,hen,114
train_landmark_files/22343/4192957666.parquet,22343,4192957666,yellow,243
train_landmark_files/18796/3556520191.parquet,18796,3556520191,thirsty,218
train_landmark_files/37779/1427606237.parquet,37779,1427606237,uncle,228
train_landmark_files/25571/657377453.parquet,25571,657377453,horse,119
train_landmark_files/37055/3759480029.parquet,37055,3759480029,napkin,151
train_landmark_files/55372/3173778081.parquet,55372,3173778081,look,136
train_landmark_files/36257/3914890336.parquet,36257,3914890336,think,217
train_landmark_files/22343/1660878711.parquet,22343,1660878711,yes,244
train_landmark_files/2044/3648596879.parquet,2044,3648596879,bee,19
train_landmark_files/2044/2660887976.parquet,2044,2660887976,green,102
train_landmark_files/37055/2798149587.parquet,37055,2798149587,old,159
train_landmark_files/28656/2680385867.parquet,28656,2680385867,callonphone,34
train_landmark_files/32319/2439119530.parquet,32319,2439119530,tomorrow,221
train_landmark_files/49445/1643148869.parquet,49445,1643148869,alligator,4
train_landmark_files/53618/2712896571.parquet,53618,2712896571,chocolate,44
train_landmark_files/30680/1260541273.parquet,30680,1260541273,donkey,60
train_landmark_files/53618/44690163.parquet,53618,44690163,lion,133
train_landmark_files/53618/1398490606.parquet,53618,1398490606,chair,40
train_landmark_files/28656/2977544108.parquet,28656,2977544108,arm,9
train_landmark_files/36257/631026007.parquet,36257,631026007,listen,135
train_landmark_files/27610/879160850.parquet,27610,879160850,owl,165
train_landmark_files/22343/3992081905.parquet,22343,3992081905,find,78
train_landmark_files/62590/990866770.parquet,62590,990866770,head,110
train_landmark_files/29302/2827867584.parquet,29302,2827867584,lamp,130
train_landmark_files/37779/3599047324.parquet,37779,3599047324,like,132
train_landmark_files/53618/1448701328.parquet,53618,1448701328,tree,227
train_landmark_files/22343/746324481.parquet,22343,746324481,touch,225
train_landmark_files/49445/2279323206.parquet,49445,2279323206,nose,155
train_landmark_files/37055/151590975.parquet,37055,151590975,white,238
train_landmark_files/26734/2569018071.parquet,26734,2569018071,white,238
train_landmark_files/34503/214939784.parquet,34503,214939784,wolf,242
train_landmark_files/28656/4012704147.parquet,28656,4012704147,puzzle,180
train_landmark_files/29302/1520839714.parquet,29302,1520839714,stay,205
train_landmark_files/4718/3864629347.parquet,4718,3864629347,will,241
train_landmark_files/25571/2388664412.parquet,25571,2388664412,pretty,178
train_landmark_files/55372/3331417636.parquet,55372,3331417636,mouth,149
train_landmark_files/18796/1485375233.parquet,18796,1485375233,listen,135
train_landmark_files/29302/3054036714.parquet,29302,3054036714,aunt,10
train_landmark_files/55372/3009931586.parquet,55372,3009931586,hair,104
train_landmark_files/37779/3650281097.parquet,37779,3650281097,pajamas,166
train_landmark_files/28656/2459492582.parquet,28656,2459492582,table,211
train_landmark_files/34503/1846187370.parquet,34503,1846187370,not,156
train_landmark_files/32319/1479759304.parquet,32319,1479759304,not,156
train_landmark_files/55372/818356793.parquet,55372,818356793,wet,235
train_landmark_files/22343/2072077421.parquet,22343,2072077421,penny,169
train_landmark_files/36257/4059302650.parquet,36257,4059302650,listen,135
train_landmark_files/37055/2122401240.parquet,37055,2122401240,clean,45
train_landmark_files/32319/4227015467.parquet,32319,4227015467,lamp,130
train_landmark_files/27610/391079339.parquet,27610,391079339,morning,147
train_landmark_files/2044/3914529951.parquet,2044,3914529951,ride,187
train_landmark_files/49445/1758771565.parquet,49445,1758771565,loud,137
train_landmark_files/37055/104652110.parquet,37055,104652110,animal,5
train_landmark_files/37779/3495211401.parquet,37779,3495211401,same,190
train_landmark_files/27610/2741180307.parquet,27610,2741180307,hat,106
train_landmark_files/49445/2352371043.parquet,49445,2352371043,rain,183
train_landmark_files/61333/3903147670.parquet,61333,3903147670,any,7
train_landmark_files/61333/1611587008.parquet,61333,1611587008,pretend,177
train_landmark_files/61333/1492260491.parquet,61333,1492260491,chocolate,44
train_landmark_files/61333/4182502824.parquet,61333,4182502824,awake,11
train_landmark_files/37779/1070102640.parquet,37779,1070102640,yesterday,245
train_landmark_files/16069/408243827.parquet,16069,408243827,pizza,172
train_landmark_files/4718/286340268.parquet,4718,286340268,water,234
train_landmark_files/29302/3694560102.parquet,29302,3694560102,drop,64
train_landmark_files/29302/2213099912.parquet,29302,2213099912,book,28
train_landmark_files/62590/2828847709.parquet,62590,2828847709,grass,101
train_landmark_files/2044/2667764043.parquet,2044,2667764043,same,190
train_landmark_files/22343/4277497662.parquet,22343,4277497662,dirty,57
train_landmark_files/4718/2292927765.parquet,4718,2292927765,moon,146
train_landmark_files/22343/3994979409.parquet,22343,3994979409,tongue,222
train_landmark_files/2044/426365490.parquet,2044,426365490,snow,203
train_landmark_files/37779/1938416829.parquet,37779,1938416829,if,123
train_landmark_files/62590/1313382830.parquet,62590,1313382830,hungry,121
train_landmark_files/36257/3876117329.parquet,36257,3876117329,beside,21
train_landmark_files/49445/3716521445.parquet,49445,3716521445,who,239
train_landmark_files/36257/1551649793.parquet,36257,1551649793,bug,32
train_landmark_files/29302/2472733143.parquet,29302,2472733143,later,131
train_landmark_files/55372/2813790197.parquet,55372,2813790197,same,190
train_landmark_files/62590/2467088390.parquet,62590,2467088390,cute,54
train_landmark_files/30680/3491434125.parquet,30680,3491434125,now,157
train_landmark_files/53618/3868350887.parquet,53618,3868350887,callonphone,34
train_landmark_files/2044/2985611878.parquet,2044,2985611878,there,216
train_landmark_files/62590/2353611919.parquet,62590,2353611919,flag,85
train_landmark_files/26734/3152922494.parquet,26734,3152922494,drawer,62
train_landmark_files/29302/3308135727.parquet,29302,3308135727,zebra,248
train_landmark_files/61333/2755670737.parquet,61333,2755670737,lips,134
train_landmark_files/49445/3812155058.parquet,49445,3812155058,drink,63
train_landmark_files/37779/3169493678.parquet,37779,3169493678,after,1
train_landmark_files/22343/2666012919.parquet,22343,2666012919,fireman,82
train_landmark_files/53618/1099926768.parquet,53618,1099926768,cereal,39
train_landmark_files/37055/1203210652.parquet,37055,1203210652,now,157
train_landmark_files/34503/2556359660.parquet,34503,2556359660,puppy,179
train_landmark_files/49445/2390590862.parquet,49445,2390590862,high,117
train_landmark_files/62590/789434162.parquet,62590,789434162,yourself,246
train_landmark_files/2044/351190869.parquet,2044,351190869,because,16
train_landmark_files/62590/2520382456.parquet,62590,2520382456,moon,146
train_landmark_files/36257/2477886441.parquet,36257,2477886441,every,71
train_landmark_files/62590/4152296767.parquet,62590,4152296767,yesterday,245
train_landmark_files/32319/2258419752.parquet,32319,2258419752,flower,86
train_landmark_files/37055/533176148.parquet,37055,533176148,icecream,122
train_landmark_files/29302/2739895701.parquet,29302,2739895701,boy,29
train_landmark_files/22343/3264844311.parquet,22343,3264844311,on,160
train_landmark_files/34503/55272916.parquet,34503,55272916,shhh,194
train_landmark_files/2044/1465777679.parquet,2044,1465777679,bug,32
train_landmark_files/18796/288613875.parquet,18796,288613875,uncle,228
train_landmark_files/29302/2767813759.parquet,29302,2767813759,grandpa,100
train_landmark_files/62590/3106716477.parquet,62590,3106716477,yes,244
train_landmark_files/61333/3477261510.parquet,61333,3477261510,glasswindow,96
train_landmark_files/18796/1096725717.parquet,18796,1096725717,frog,90
train_landmark_files/29302/2337585284.parquet,29302,2337585284,lion,133
train_landmark_files/18796/2520144932.parquet,18796,2520144932,up,230
train_landmark_files/28656/1570146564.parquet,28656,1570146564,closet,47
train_landmark_files/26734/1966698368.parquet,26734,1966698368,cow,50
train_landmark_files/36257/3502430110.parquet,36257,3502430110,gum,103
train_landmark_files/4718/1602914085.parquet,4718,1602914085,first,83
train_landmark_files/27610/3757546739.parquet,27610,3757546739,cry,52
train_landmark_files/62590/854715595.parquet,62590,854715595,orange,162
train_landmark_files/37779/3699087976.parquet,37779,3699087976,bye,33
train_landmark_files/36257/1557454795.parquet,36257,1557454795,mom,145
train_landmark_files/62590/3358871668.parquet,62590,3358871668,gift,92
train_landmark_files/16069/4124383186.parquet,16069,4124383186,thankyou,214
train_landmark_files/36257/4154751078.parquet,36257,4154751078,better,22
train_landmark_files/30680/1069377196.parquet,30680,1069377196,stuck,209
train_landmark_files/22343/1078315930.parquet,22343,1078315930,mouth,149
train_landmark_files/28656/1913815080.parquet,28656,1913815080,open,161
train_landmark_files/16069/863661051.parquet,16069,863661051,outside,163
train_landmark_files/26734/2628473354.parquet,26734,2628473354,touch,225
train_landmark_files/29302/3357842125.parquet,29302,3357842125,who,239
train_landmark_files/27610/1482920998.parquet,27610,1482920998,make,139
train_landmark_files/18796/3045607518.parquet,18796,3045607518,drop,64
train_landmark_files/55372/3125568844.parquet,55372,3125568844,underwear,229
train_landmark_files/29302/1184271147.parquet,29302,1184271147,yesterday,245
train_landmark_files/30680/4131488351.parquet,30680,4131488351,toy,226
train_landmark_files/49445/1226469327.parquet,49445,1226469327,flower,86
train_landmark_files/37779/1053430004.parquet,37779,1053430004,dance,56
train_landmark_files/27610/3973299654.parquet,27610,3973299654,better,22
train_landmark_files/29302/1771644087.parquet,29302,1771644087,head,110
train_landmark_files/30680/3929352220.parquet,30680,3929352220,that,215
train_landmark_files/4718/3854479215.parquet,4718,3854479215,white,238
train_landmark_files/36257/480254312.parquet,36257,480254312,look,136
train_landmark_files/16069/1125567991.parquet,16069,1125567991,thankyou,214
train_landmark_files/28656/2215904854.parquet,28656,2215904854,wait,232
train_landmark_files/53618/2392482965.parquet,53618,2392482965,sleepy,200
train_landmark_files/49445/2503534914.parquet,49445,2503534914,think,217
train_landmark_files/18796/3987083436.parquet,18796,3987083436,puzzle,180
train_landmark_files/53618/3714811114.parquet,53618,3714811114,hesheit,115
train_landmark_files/37055/2014273279.parquet,37055,2014273279,pen,167
train_landmark_files/22343/2000415426.parquet,22343,2000415426,now,157
train_landmark_files/28656/603416346.parquet,28656,603416346,now,157
train_landmark_files/36257/2420659225.parquet,36257,2420659225,cute,54
train_landmark_files/32319/301452030.parquet,32319,301452030,yellow,243
train_landmark_files/32319/308832369.parquet,32319,308832369,penny,169
train_landmark_files/26734/3422826598.parquet,26734,3422826598,up,230
train_landmark_files/2044/396224802.parquet,2044,396224802,black,24
train_landmark_files/26734/2958920910.parquet,26734,2958920910,snack,202
train_landmark_files/62590/3089251328.parquet,62590,3089251328,bad,13
train_landmark_files/30680/1888074300.parquet,30680,1888074300,hair,104
train_landmark_files/18796/1148668534.parquet,18796,1148668534,zebra,248
train_landmark_files/53618/2533502666.parquet,53618,2533502666,loud,137
train_landmark_files/62590/167063621.parquet,62590,167063621,not,156
train_landmark_files/29302/725222406.parquet,29302,725222406,fall,74
train_landmark_files/37055/4230390350.parquet,37055,4230390350,mouse,148
train_landmark_files/49445/1632240749.parquet,49445,1632240749,bed,17
train_landmark_files/18796/4045155687.parquet,18796,4045155687,callonphone,34
train_landmark_files/25571/3509204677.parquet,25571,3509204677,cereal,39
train_landmark_files/32319/3841482401.parquet,32319,3841482401,touch,225
train_landmark_files/28656/3211363187.parquet,28656,3211363187,many,141
train_landmark_files/30680/451445594.parquet,30680,451445594,noisy,154
train_landmark_files/16069/900900512.parquet,16069,900900512,potty,176
train_landmark_files/30680/4039082622.parquet,30680,4039082622,refrigerator,186
train_landmark_files/37055/3626011583.parquet,37055,3626011583,toothbrush,224
train_landmark_files/34503/3150301904.parquet,34503,3150301904,backyard,12
train_landmark_files/28656/3690145319.parquet,28656,3690145319,sad,189
train_landmark_files/29302/876462514.parquet,29302,876462514,balloon,14
train_landmark_files/37055/2273507116.parquet,37055,2273507116,wet,235
train_landmark_files/22343/565730398.parquet,22343,565730398,before,20
train_landmark_files/29302/229093551.parquet,29302,229093551,because,16
train_landmark_files/37055/2677267105.parquet,37055,2677267105,bed,17
train_landmark_files/37055/2617084318.parquet,37055,2617084318,closet,47
train_landmark_files/25571/4016381233.parquet,25571,4016381233,shoe,196
train_landmark_files/2044/3342541807.parquet,2044,3342541807,shoe,196
train_landmark_files/37055/2026248646.parquet,37055,2026248646,first,83
train_landmark_files/28656/2705858695.parquet,28656,2705858695,cat,38
train_landmark_files/30680/1177556236.parquet,30680,1177556236,chocolate,44
train_landmark_files/27610/2620417561.parquet,27610,2620417561,before,20
train_landmark_files/62590/4135200312.parquet,62590,4135200312,pretty,178
train_landmark_files/37055/2161969541.parquet,37055,2161969541,elephant,69
train_landmark_files/37055/2591848945.parquet,37055,2591848945,moon,146
train_landmark_files/32319/978602371.parquet,32319,978602371,hesheit,115
train_landmark_files/37779/762720368.parquet,37779,762720368,hello,113
train_landmark_files/28656/612426412.parquet,28656,612426412,dance,56
train_landmark_files/4718/4034205025.parquet,4718,4034205025,listen,135
